sentence,sentiment
Modi ji namashkarSorry to say but aap jab v kahin Facebook pe kuch share karte hain to status ko English me update karte hai...Khusi hogi jab aaapka updates hindi me,1
"Mr. Pm hme aap par graw hai. Manish kumar, nasriganj",2
awesome wap....bhai jaan..,2
kamaal karte ho Salman ji aayeh bhi nahi..,2
Hello salman bhai...,1
Nahi to ye mat soch ke tu fanna nahi hoga ye khyal tera jhutha h,0
india me to 4 baj gye agar aap London betha h to pta nhi,1
usse bol de keep distance wid me nonsense admi jo sirf apna kam banta rakhe,0
Pori dunya tumhari fan nahi hai to ziyada ochlo mat agar tum harai fan ho to wo sirf india or pakistan ho ga ya pir AK or mulk pori dunya nahi Mari sister tumhai pehlai like krtiti per ab nahi she is right you are salfish,0
salman ap ko kabi b achhi intresting story wali films kyu nhe milee jis trha shahrukh ya amir ko milti ha,0
4 bjh gaye sir,1
salman bhai look to bahut achcha hi bhi,2
"tayyar ho gaye kab se,ab jaldi aao!",1
aap to being human ho aap ka flim hit to honahi hai itni logoka duya jo hai.,2
sir plz plz,1
bajrangi bhai dar gaye is idd me lagta he,1
Kewal ghumte raho aur india ka ko narak me badal do tumhara modi yahi kahani,0
Eid mubark ho salman jii I love you salman.mai apse ek bar milna chahti hu salman jiiii meri yhi khwaish h salman jiiiii,2
Bhai 1 bar rply chahiye aapka kha ho sir,1
salman yaar sudhar ja bhai Q krta hai gandi herkate yaar,0
Kyu nahi ap eid per ap bolaye or hum na aye hum jaror aye g,1
Bhaijaan kuch to bolo,2
Salman g kabi roza rakha hi?,1
Bhai shaadi b kroge ya randwe hi mroge,0
4pm Salman kha ho,1
Are kaise pata chalega ke online ho,1
sir gud ni8 bol kr bhi lgi hue hu comment pr comment sir bhi dard hone lga,1
Supar hit bahi,2
sar aap chaho to yek bar hum she bat kare,1
bhaiyya pls baat kijiyega dil mat todiyega,1
Bahut kam logo ko saccha pyar milta h,1
Sallu bhai patiala a jao apni film ki promotion ke liye...,1
"all the best+EID MUBARAK 2 SALMAN,LOTS OF REGARD2 ELDERS+LOTS OF AFFECTION&LOVE2 young!",2
Salman sir answers dain gey kya..,1
chup karo paglo rulaoge kya .. senti batee karre sab :'(lolz,0
inki film inkey naam pay chalti hai naam hi bahut hai superhit karaney kay liye,1
Plz sallu help him aap sabki dua hi lete hona plzz inki b,1
Salman khan on instagram,1
u r muslim soo app rozay rakh rhy hoooo,1
eid mubarak ho bhai jaan love u,2
Abe ismail pakistan me chal v jaegii to 1 cror se jada okat kya h tum logo ki be,0
Sir  aapk accont se to maajak nahi kar raha,1
veri nice song bhar do jholi salman bhaijan 09627010944 plz cl me plz plz plz,2
oui salman khan,1
kya bhai aaj ki shaam salman bhai ke fans ke naam,1
Umar bhar aap eysai hash te rehay or you hi movie banate rehiye,2
Sallu miya wonder ful,2
Ahana Khan ignore thm thy wil never understand..... kuch bolo toh gaaliyan dena shuru kardenge jo hame islam sikaate hai,1
Lega rhia purei takt k sath sbhi bharrt venseyo ki duaey ap k sath hai,2
Hum ko b tho chance dedo yaar salman,2
modiji duniya k masiha he...kafi ku6 kiya he or aage bhi karna he....,2
"Hlw,bajrangi bhaijaan",1
urgent wrk hai aapke saath modi g,1
Insan ki koi cast nahi hoti ji ..aj dont wory,2
bhai ka uper cmnt aya he,2
abi bhai ko pir behja ha apko kch snds karna k lia pata nhe apka adress tek nhe pata mja,1
Hi salman bai,1
tum kis mitti se bane ho koi tumhare sath 3.5 se bat kar rha hai 3.5 sal se ek hi chij se ek hi bat kah rahi hai tumhe koi phark nahi padta,0
"Hai salman i' from idonesia&maley, god",1
Musalman log khilaaf hogaye iske saari ijjat dho dega kya is pic mei,0
Kb bjenge tumhare 4 salman ? ??,1
salman agr tun mery samnay aa gea to ma teri film bna dunga bhenchod apny ap ko tun smjhta kia ha,0
Bhaijaan kamaal karte ho,1
I'm superman but salman ka fan,2
Salam lekum bhai jaan ramdan mubarak ho aap ko,2
Kam me visvas karti hai bjp,2
Shukriya Bhaijaaaaan... Mere bday pe aj tak mila huva Sabse pyara tohfa.... Bajrangi Bhaijaaaaan....,2
Mazay ka tha lolz komal fon uthao na yar :p,1
Salman ji kya aap bhi eid mubark manate hai please bataye ga please,1
suru kar do yaar,1
"Mera bharat mahan , Modi ji saccha insan, Des ki Dilayange sahi pehchan.jai hind jai Bharat",2
Plz rply sir,1
asslamu alaikum salman bhai ladhkoyo ko hnsm nai hne se nt like,0
Sbka record todke Salman bhaiJai jai bajrang bali,2
Looking katilana andaaz,2
"Jb chunane ka aadhikr janta ko h to,jb unhe lage ke galat aadmi chuna gaya h to,5yr kyo sahe uske tanasahi,reject kre usa,isse neta janta k pirti jyda jimmadare honge.",1
kya aap human being ko hmesha support kroge ???,1
GUD NIHT DOST ALAH AFIZ SALMAN KHAN MERY GAN TUM,1
Salman khan rock .,2
Bhaijan eid Mubarak Aap ko pyaar karty ho,2
sr ji 2 mnt xtra lay li....ab itne dr apko jyada baat krni.pdegi :*,1
Bhai comedy. Laavo na...aap comedy with kapil me jitna hase ho ..utna haste hue pehle nahi dekha,2
Salman khan g kasy ho ap eid par jo movie ha wo tek ha par name tek ney ha mara msg dak lana g ok,1
saaaaaavdhan salman bhai ko bulane ka formula laaya hoon... sirf 51 rupe do or sallu bhai se baat karo.. baba ka prasaad lo.. sirf 51 rupe,1
We dnt blv sch nonsense keep da gud wrk!!,1
Aate aaz bhai,2
Neha sapne aCHCHE H MAGR YAD RAHE SAPNE SUCH NI HOTEY,1
kya karne wale ho kuch soche bhi ya koi phark nahi padta,1
BiNa muslim Ki hit karke dikhyenge hm,1
"Avi ku good night, maja abvi baki hai!!#sunati",1
kamal karte ho pandy ji ....kitna wait karwaoge,1
P m sab Aap ips abitabh thakur ki madd kigiye ga,2
Tum kahe rahi ho oh fake hai agar real me aaye to tum kaise pahchano gi tum hahaha,0
Tumne bhi kabhi saath nhi diyaa to mai akhir galat ho he gai cograss,1
bahut pasand aaya,2
Bhai kuch kaam se busy honge wo jarur aayenge,1
Gd mrng bhai,1
Bhai jaan ek number yar mana to caller tunes set bhi kar li nice one bro,1
haa bhai pls come in vrns,1
Salman saale tu chorr h. Kamine kutte .,0
"Sir, Abhi desh ke sabhi state ka tour laga ne to nikle. Jaise 2014 ke election me aap nikle the. Aab dekhye kitna parivartan/ change hua hai ke nahi.",0
bhai realy hurt jab nahi aana tha toh kyu kaha tha u know me ana study chodhkar  1 hour s msg kar rahi mera exam hai kal phir bhi bye :( :(,0
bahut wt kiya aur nahi....bye...gussa hu app sa,1
Love uuu bhaiii,2
Hiiii sallu bhai.. .kaise h..bhaijaan...apne to kamal kr diya bollywood industry mei. .,2
Are maska kyu mar rhe sallu bhai rply dedo,1
aslaam o elekum bhai iam from pakistan kia ap bajrangi bhai jan k liye pakistan ana pasand krengy,1
Awesome track. ..Dil mey uttar gya yaar,2
Hey salman bhai .kab Milo ge,1
"danyavad bahi ji,shubharatri ji",2
Modi ji bharat ki badhti abaadi ki fikar kijiye Jo bharat ko patan ke maarg per lejaa rahi h,0
"Bhai waiting eagerly for you...Plsss jaldi aao na, 3.30pm se 4pm aur avi 5pm ho gaya hai.Phn haanth mei lekar, aapkia page mei aapka wait kar rhe hai.",2
Kya bat kare aap se bhai sahb aap ne to apna wajod hi badal dia Fir bhi thanks for massage,2
hme to phle hi pta tha salman aapke bare me sb jhut kha h... pr kuch akl k andhon ko kon smjhaye ....... i love u always salman ....i recpact u allways ......:-*:-*:-*:-*:-*:-*,2
Please Salman sir. Is garib ke lye bhi time nikalen aapse milne ka apointment den,1
Salman bhai bas tum hi tum ho industry me jo chaye rahate ho aur dusara kai nahi,2
App ko ramzan ka mahina mobarrak ho....or app ho allah tala or tarraki de....,2
Sundar ekdam sahi Gaya Hua gana.chhotisi gudiya ko naman,2
eid pe araha hon filim dekhne bjrngi bhi jan,1
salamin alaykum salman khan jumma bubarakho how are you,1
Kahan ho aap bhai,1
Mai kaha kho gai itni crowd me,1
Salmaan khan bollywood rss or bjp ka naya kutta,0
Prnam ji kuch desh ke liye mai bhi krna chahta hu bas aapka thoda sath chahiye agar mil jaye to mera kaam aasan or khubshurat hmara desh hoga.,1
kha ho aap shona cant wait...... :-),1
"bhai kabhi to apne pas bhi to dekho , khudko bhul jaoge he he",2
"Hello salman jee, , Eid mubarak",1
salman itni problem mei bhi desh ki duty ker rhe hai so why not..,2
Kala dajjal hai salman khan,0
jai bajrang bali..,2
"Par me salman g se itna pyar karti hu k ye page to unka hai,isi liye jyada comment me karti hu,taki unhe pata chale k me unki kitni bari diwani hu",2
SRIJI Jantar mantra padhare !aapko nyota hai !,1
Advance mai eid mobarak bhai,1
bhai....... 4 nhi baje ra.......3:30 ma he kr lo na.....,1
Hum ka bole is kamine salman ke bare me bolna to bahut kuch hai I heat salman khan,0
Salman bhai aap hoge jis movie mai to hi jaunga dekhne,2
Mene bataya na ap logo ko ke aj bhaijaaN bat nai kar sakte kamar pe dard hn docter ne araam ka kaha hn ok frendz,1
Lov u modi ji,2
Bhaijan tumara fon nombar chaie do na eid Mubarak bolne ka,2
Super duper flop...inshallah nich hai Salman Khan tu..?,0
Aapki film k liye aapko dher sari shubhkamna,2
Salman vai aap sadhi krlo plzzz...,1
Muslman bolte huwe saram aa rahi hai,0
dekhate abhi tum hamare liye time dete ho kya to,0
"salu bahi sabka bahi salman bahi,,My Supar kahn Salman kahn kick se v suparhit hogi bajrangi bahijaan,",2
as salam alaikom :) aur intezar nai hota plz cm fast,1
Apse life m ek bar mulakat ho jaytoo life m aana safal ho jaygaa,1
Salman khan Aapko Aap ka feyn .taranam q stail ma dakhna chahta hai .,1
Aabhe salman bhai ko suna mat lagaao vo kisi ki sunne vala nahi voto jo manme aaye vo karega bhai,0
aap par ek ilzaam laga hai ki aapne muslim ko galat kaha hai kya ye sahi hai mera dil nahin manta hai ki aap aisa bole hain,2
I'm so excited salman bhai,1
Bhai apni har ek film mai atif ka 1 toh gana jaroor daaalna,1
Bahi main ne ap sy boht zarori bat karni hai @BeingSalmanKhan,1
Kutty sharam tou hai nhi tujh mai zalill insaan,0
Bhai.. Kese ho.. Aur intezaar nhi hota jaldi aao,1
salman sir apke being human trust ki small cities me bhi requirement hai ..pls. jitni jyada ho sake utne logo ke madad kejiye....and BAJRANGI BHAIJAAN Ki JAI HO.,2
sir gay mat aki hatyaye roko,2
"ab apko nice,gud,handsome etc bolke kya faida....Ei sab bohot chota word hai ap k liye.....ap mera fav actres ho pls Cl me on this nmbr....919593871431...<<<Agar ho sake to>>>..Pls...'''",2
great modi ji,2
hii bhaijaan...ab intjaar ni ho rha h...apse baat karni h,1
bhai just ek baar hi bol do,1
lol admin atention seeker h jante bujhte post dala ki coment mile >_<,0
Kis khushi me tyar hojae bhai shadi ki party dere ho,1
Allah kare ki app ki film bajrangi bhaijaan south therator mey reliz ho jaye,2
"oh my god ,i cnt belive...... i'll be thr........pls be my frnd salman...$$$$$$",2
bhai jaan jai bajrangbali apki movie jarur blockbuster hogi,2
4 bjne hi wali hai,1
Vai mai dur se baaat kar raha hu :'(,1
iss bar eid ki party bhai ki tarf se...........,1
Tek ha ap is.waqt bht bzi ha,1
salman sir for u dabe mein daba dabe mein cake mera piyare salman sir cororo mein aik,1
Salman khan ki jai ho,2
Sallu Bhaijaan aapko #BajrangiBhaijaan film se kaunsa gaana sabse zada pasand hai?? ??,1
Vry nce sir. <3,2
Main Hindu hu Bhai bajrang Bali bhi Hindu god hai gau mata ki Bali dete ho sir aur bajrangi banate ho,2
Ashu yar bs kro. . .,1
Humari sabhayata humari pehchaan...,1
es apps ko downlod kro sare,1
sir agar aapke pas thoda sa time ho toh kripa karke es desh ki nojawaano ke liye bi kuch kariye.. jyada jankari ke liye kripyaa msg kariye mujhe,1
modi ji kese ho ap.. videsh me apka dheyan rakha ja raha hai na sir.. sir ap please jaldi se ajao fir maan ki baat karna I'm waiting for it sir.. take care sir,1
Salman kaso ho,1
Asaalam aalay kumm Asaalam axelent bhai jan (y),2
Rammi hindo salman. Kafir kuty ho tum gandooo,0
luv u salman khan,2
Kha bt krenge,1
Me bhe aap ka bahut bada dewana hu,2
4 baj gye lekin bhai abhi gayab h,1
Kya ye abhiyan abhi bhi jaari h,1
Salman bhai bada wala tharra Desi ka pike so gaye Heheheh,0
"Election jantak chunne k hota h ya neta juth bolte h bade2 wade karte h,lakin wahi'ENGRAGI SASAN'Ise badlega kon jise humne chunna h lakin wo badlega to wo satta sukh,bade2 ghotale,janta ka pesa janta k leya kyo pryoge nahi ja raha,",0
Bada hoke fir aayega... Infiltrate karne.. and goli khane..,1
Bihar(patna) kab aa rhe hai #Bajarangi_Bhaijaan ke promotion ke liye.,1
Jhut bol diye. Itne jhutte ho to tumhare fan tum par trust kya karenge yrr. Ye Sonakshi sinha nahi hai jo such bolenge,0
The Logical Indian Kuch bhi likhte ho .. ek bar soch bhi liya kro likhne se pehle,0
Salman sir...<3,2
intzaar mat karao aa b jao ya fir bol do ki kal baat karenge,2
mast hai bahi,2
AB to type karte kate fingariya dard hone lagi,0
Faad bhai faad ....att kara ti . Sirra acting kiti a . Maza aa gya . #bhai to jaan hai,2
Modi ji aap ko shat shat naman hai jo aap ne pure universe me apne hindustan ka parcham laharaya......,2
Ek kaam karo baam laga k maalish karo fir ek kapada lo us mai akhe nanamk rakh kar tave p halkaa garam kark back par seikh do inshallah back pain thick hojaeyga,1
Pak ka movie flop hoji ???,0
Abhi easvariya ka bhut utra hi ni he to tumko kaha se milega,1
Salman plz cm?,1
Advance eid mubarak salman bhai,1
bas isi tarah aap age badate rahiye hum aapke sath hai ...,2
"Hum cahtiha ki vai, ek bar ake sobko jalak lagadea",1
bhai in sb ko mirchi wali samose khilao bahut chilla rhe h,1
Anjana Dhamodharan hi suweet hart buhat achi lag rahi h0,2
abhi tak nahi aye salman bhai online?,1
Apka kya khna PM ji,1
assalamualikum jumma mubarak,2
4 bj gye lekin party abi baki h sir wh bhi eid ki,1
Arrrey kmaal krtey ho Hm sb wait kr rhey h,1
Aaj ka bolke kal par taal diya.. Salman bhai aapse aisi ummed na thi,0
hello chulbul ji..aye jaldi sbhi intazar kar kr rhe h apka,1
harami sala salman...,0
bhai aapke answer k liy boht piche jana pdega,1
jai hind mera bharat mera hindusthan,2
Jai shri ram .......coming sooooon bjrngi bhai jan,1
ye bhosdiwale bhagne vale nhi bc mc harami sale suwar ki olad,0
"Kis ka Bhai jaan kahan ka Bhai jaan Kutte tu ek nambar shetan, Eed me hi aata he, Kharab karne imman,",0
Bhai kamal k jodi hoge ap 3nun ki.,1
3.58.... ohhh cant wait :),1
Eid mubark ho bhai jaan advance mai it's emerjancy plz,1
Jo tum bolte ho tum wo karte nahi ho,0
4 baj chuke h bhaaijaaan,1
Narendra modi ji plz court me jo cases pending hai use jldi nyai mile aisi koi upai yojna kre,0
ye tumse jalne walo k kaam h bhai,0
Salllluuuu i love u....plzzzz ek bar apne apse milne do...plzzzzzz,2
Duniya ki technology lane par hi dess ka vikas hoga,2
lovly &nice song ..salman.,2
Aur eidi main aap chahye,1
Sallu bhai reply do na us ladki ko plz ye mera izzat ka sawal hai plz..plz..plz..,2
I lv #saLmAN <3<3,2
Modije mera request hai ke ap apna whatsapp no de take mai live pic apko dekha saku,1
hhaha mjak mt kro aap ka phone off aa rha hai salman bhiya,0
salman khan bet hiro mai yuske sath pkchr me ka krna chta hu,1
party kha pai hoygi bhai,1
Me Delhi se hu aapke security gourd se kaha na usne milne diya or n aaptak msg pahuchaya plz meet me,1
salman khan ne kl ka bola tha fr se check kro,2
Sir aap ghumne ke waza Jo bhi ho aap agar odisha ka electricity me sudhar layege to kuch acha hoga or Jo baat kiye the aap bo to kabhi nehi ho sakta bas electricity me sudhar dijiye bas,2
I love you Salman sir kaash main apse baat kar pati..i miss you..<3,2
oh bhai mere luck kitnakharap twtr nahe ho raha,2
Bhaijaan aapka song humesha hit hi hota hai,2
Hum aapna kaam chodkr baithe h . Aajao na.,1
salman flap ab,0
Râ€žj'Å’v Vâ€¹Vâ€ â€˜Â¤ Ready ho bhai aaj ki party ke liye,1
I know bhai Muslim kabhi kisi ke religion ke baare me galat nahi bolta.,1
Sir ji kamal kardi apne vides me bhi.,2
Ek naya itihas banayega Modi ji ka karyekaal.,2
bhaijaan app itnai deer bad kyu promotion krte ho,1
Salman Khan sir hame bajrangi bhaijaan me kya kuch new dekhne ko milega..?,2
Salman tu reply q nhi kar raha please please,1
Eid mubarak ho bhai jaan,2
Aslma alikum bhai jaan khan really hero salman khan,2
Ap jesi jaha miljati he fir durghatna ghatjati he,0
kya 3:30 bola tha,1
Modi sir welcome aapko or hum aap jaise sir ki jarurat,2
bhai ne to popat kar diya,0
bhai plz aa jao,1
4 bj gaye par party abhi baki h..Baat to dur kisi ko rply bhi nhi kiya Salman Khan,1
Kese ho bhai aap,1
Bhai hum aap par poora trust karte hai aur humme pta hai kabhi galat nahi karoge,2
Hi salman bhai kisa hai,1
Mullo ko bhagao...TP mat karo,0
eid mubarak lakin es br eddi bhi chaiyea,1
Trailer dhannnsu hai bhai,2
india digital bana dena modi sarkar pm,2
"salman sir plzzzz sir madat kro sir mai 4saal se aapka number dhoond raha hu sir plzz madat kro mere parivar ko aapki jarurat hai salman sir plzzzz sir....yeh mera no...hai ..,.7355458113",1
Duniya me sabse acha kon hai to o sirf hamara veer Q ki o sirf Dil ki sunta hai,2
salmaan sir hm aapse milna chahte hai plz sir...,1
bhai jan duaa hei k appki film sooper dooper hit ho.,2
Bhai  acha mazzak banaya aap ne aaj :-W,2
Sacha bharat INDIA,2
salman khan to ghode bech ke sogaye hoge. aur yahan machi market banare sab . sojao salman ke deewano,1
"salman bhai abi dabanng 3 ke shuts ke liye satara mai hai, so next time fans",1
salman khan kamine kab ata tu chor lolz,0
Aaj ek se bdkr ek ghatnayen huyi hain pta nhhh kya huwa h...,1
voo pajii tusi kitee chale gaye c,2
Ek saath bulao sab....,1
Chutiya no 1......jo apne dharam ki nahi ho saka o kisi bhi dharam ka nahi......kehte hai na log k..jo khud ko pyar nahi karta o kisiko bhi pyar nahi karta,0
Waiting bhai.. Aur kitna intezar karoyege,1
Koi rahe ya na rahe mai apke sath hu salman bhai,1
Laga liya ji,1
Bollywood king my bro salman khan,2
Ek rply to kar do salman g ... ab to dekho sab ko pta chal gya.... lakin aap ko kab pta chalega,1
Ya fir Facebook crash kr denge,1
Chutiya salman.....khan banna hai to pahle shahrukh ban,0
Ja kutte Teri movie koi nhi dekhega haram khor,0
Oooops wow yar,2
abe chutiye kabhi namaz bhi pad liya kar,0
Sar modlig to nahi ki maine par ek din ballywood ka sitar zarur banuga,1
Paglii hy kya tu Aliya Khan mene bola or tu sch man ri hye,0
kab kitna karaoge..wait,1
Bhai 4 bje page par hi bt kroge inbox me bt krni hai mjhe to bt bht personal hai,1
Aapne ye sbko btayaki hm insan haitb hindu ur musalmanNd india ur Pakistan. ...Bt pta nhi kyu log smjhte nhiBt koi nhi One day they wil realize.,1
Hm toh taiyar bs apke tasrif rakhne ki deri h.,1
"sir ji namskar , hamari (BJP) party ke kuchha netaon ne party ki chhavi ko badnam kar diya hai ese me unhain unke pado se hataya ja skta hai , jisase dusra koi bhi esa kaam na kare, jai hind, vandematarm",2
Aap khafi busy rhte ho uncle. ....,0
Tan aur Mann desh Kay liye pranam modi ji .,2
Sir it's 4.o6pm,1
hiiii how r u ..aap ye btaye ki aap lucknow kyu nhi ate hai n agar ayeto mjhe plzzz inform kare..plzz,1
wâ€¦ise tu boli nai ki hai kaha se,1
sahi h bhai good evning salman sir,1
bollywood prem bollywood fitness pleyar bollywood king bollywood god,1
Kya kare ho,1
SALMAN KHAN BHAI CHAR BAJGYE PAR PARTY ABI BAKI HAI,1
Kha h aap pls kbhi aek msv kr dijiye plss I realy miss u,1
Mast hai bhai,2
Muje apse shadi karni hai,1
Salman bahi super duper hit hai meri dua hai apke sath L0ve u bahi,2
Salman bhai es songs ko movie me bhi dalo plz,1
salman 4 bja gye,1
You r great Salman sir....Aap 1.Actor baad me ho pehle 1.Achha insan ho....Ummid hai Aap hindu or muslim ke sath aa rahe apwad jank bayano ko gour nhi farmayege...,2
Bhai ...wait kar rahe h hum sab...time btaoo yaar,1
Md noman teri behan hai wahan pe,1
Salman is godfather is bollywood,2
Aajao na bhai kahe sarma rhe ho,2
Sallu bhaijaan ko salam,1
tumhare dil me kuch na kuch khot to hai phone nahi karne ka region samajh me nahi aata aisa kis relationship me hota hai,2
ap hi sach boldo ye sab photo wagaire sahi hai ki nhi,1
tu hai k nhiii....tu hai k nhiii  <3,1
Modi ji aap jesa koi nhi dhanywad aap desh ki kitni sewa karte hai jese ak beta apni ma ko poojta hai,2
kya baat h..manwa khush krr diye..,2
hamy apky real life se koi sarokaar nahi. ap actor hu aur apki mvz dekty hai thats it baqe ju karu ya na karu ur life,0
Bhaaiii orrr kitnaaa wait krwaogyy yrrrr....,2
ajao vaai party karte hai tm or hum fans lok,1
"nice tobe thiseid eve,,,,,eidmubarak",2
Apki movie me sbko bolna hai jai siya ram tab eed manegi acchi...,1
Bhai roja ramdan me weit nhi karwate,1
Superb salman bhai,2
Guyssss meri profile picture kesi leg rahi hai..???,1
ja rahi hu ek bottle pani pine ab pandey ji khabardar jo issko kabi mere samne laye bhi,0
JAI HO MODI JI,2
apne desh ki mahanta ko jitna bhi desh me charcha kiya jaya bhahut hi acha hai,2
Bhai jaan majhe le rahe ho malum h,2
Mai WO pars buy Kar k use mai paise rakh k use gift reaping karwaa k eid waale din namaz k baad jab Ammi se gale milkar eid Mubarak karungi tab mai ye gift unhe dedungi,1
Apake upar bharosa hai.. ..bhai! Aap koi galat kam nahi kar sakte.. .. !,2
okk bhai jaan...:),1
Dukkar h salman suwar kahi ka,0
Hello hay salman brother ey kaya bola aapne h/ m bolo,1
bhai jaan ead mubarak supose 6caror in bajrangi bhaijaan,2
yoo....hit hitZ nd hits,2
yaaahi bhut bari party he ap ki taraaaf se,1
kal modiji nagpur jar nam len sir he vinti aahe sir,1
kyoki ittana pyr tumko  krte he hum,2
waise time waste nhi kartey ho timing kain pake ho,1
kaha hooo vai? ajao or intezar nehi hota,1
salman bhai look to mast hai par choor lag rahe ho,1
aaj ki party Salman ki taraf se,1
Salmaan bhai maine hay kaha tumne javab nhi diya,0
to tera matlb har bura kam karne vala aadmi musalman hota h Great thinking h bhai my midle finger salute u,0
Kaise muge bhi apse baat krni h ...,1
Kisine mazak toh nai kiya,1
Bajrangi bhaijaan sab record todegi salman bhai jiii,2
Bhai kya mazak hi ye 4.6 ho gye,1
"Tu bhi jhootha nikla ,Vaada tera vaada hi nikla...",0
